sigma,time,capital,capability,output,consumption,ai_services,inference_compute,research_compute,ai_service_price,wage,interest_rate,capital_output_ratio,labor_income_share,ai_revenue_output_share,inference_output_share,research_output_share,profit_output_share,competitive_foc_log_residual,output_effective_labor,consumption_effective_labor,capital_effective_labor,wage_productivity,net_interest,output_effective_labor_growth,ai_services_effective_labor_growth,capital_effective_labor_growth,consumption_effective_labor_growth,output_per_person_growth,wage_growth,capability_frontier_ratio,output_counterfactual_ratio,wage_counterfactual_ratio,consumption_counterfactual_ratio
0.9,-2.0,6.235221642477948,13.609921392415593,1.8894611037811966,1.3761715688408234,1.639595007727997,0.12047057146426245,0.0,0.07347581012167127,1.145468368069139,0.05,3.3,0.6062407772125203,0.06375922278747961,0.06375922278747961,0.0,0.0,0.0,1.8894611037811966,1.3761715688408234,6.235221642477948,1.145468368069139,0.05,0.0,0.0,0.0,0.0,0.01,0.01,0.01,1.0,1.0,1.0
0.9,0.0,6.235221642477948,13.609921392415593,1.8894611037811966,1.3761715688408234,1.639595007727997,0.12047057146426245,0.0,0.07347581012167127,1.145468368069139,0.05,3.3,0.6062407772125203,0.06375922278747961,0.06375922278747961,0.0,0.0,0.0,1.8894611037811966,1.3761715688408234,6.235221642477948,1.145468368069139,0.05,0.0,0.0,0.0,0.0,0.01,0.01,0.01,1.0,1.0,1.0
0.9,500.0,6.235221642477948,13.609921392415593,1.8894611037811966,1.3761715688408234,1.639595007727997,0.12047057146426245,0.0,0.07347581012167127,1.145468368069139,0.05,3.3,0.6062407772125203,0.06375922278747961,0.06375922278747961,0.0,0.0,0.0,1.8894611037811966,1.3761715688408234,6.235221642477948,1.145468368069139,0.05,0.0,0.0,0.0,0.0,0.01,0.01,0.01,1.0,1.0,1.0
1.0,-2.0,6.278062168197312,13.609921392415593,1.9024430812719129,1.379461478230264,1.7347707529069278,0.12746368644521813,0.0,0.07347581012167127,1.1471731780069634,0.05,3.3,0.603,0.06699999999999999,0.06699999999999999,0.0,0.0,0.0,1.9024430812719129,1.379461478230264,6.278062168197312,1.1471731780069634,0.05,0.0,0.0,0.0,0.0,0.01,0.01,0.01,1.0,1.0,1.0
1.0,0.0,6.278062168197312,13.609921392415593,1.9024430812719129,1.379461478230264,1.7347707529069278,0.12746368644521813,0.0,0.07347581012167127,1.1471731780069634,0.05,3.3,0.603,0.06699999999999999,0.06699999999999999,0.0,0.0,0.0,1.9024430812719129,1.379461478230264,6.278062168197312,1.1471731780069634,0.05,0.0,0.0,0.0,0.0,0.01,0.01,0.01,1.0,1.0,1.0
1.0,500.0,6.278062168197312,13.609921392415593,1.9024430812719129,1.379461478230264,1.7347707529069278,0.12746368644521813,0.0,0.07347581012167127,1.1471731780069634,0.05,3.3,0.603,0.06699999999999999,0.06699999999999999,0.0,0.0,0.0,1.9024430812719129,1.379461478230264,6.278062168197312,1.1471731780069634,0.05,0.0,0.0,0.0,0.0,0.01,0.01,0.01,1.0,1.0,1.0
1.1,-2.0,6.323503979203803,13.609921392415593,1.9162133270314554,1.3829206177420617,1.8361411514367592,0.13491195859955418,0.0,0.07347581012167127,1.1489509705115208,0.05,3.3000000000000003,0.5995944993720735,0.07040550062792646,0.07040550062792646,0.0,0.0,0.0,1.9162133270314554,1.3829206177420617,6.323503979203803,1.1489509705115208,0.05,0.0,0.0,0.0,0.0,0.01,0.01,0.01,1.0,1.0,1.0
1.1,0.0,6.323503979203803,13.609921392415593,1.9162133270314554,1.3829206177420617,1.8361411514367592,0.13491195859955418,0.0,0.07347581012167127,1.1489509705115208,0.05,3.3000000000000003,0.5995944993720735,0.07040550062792646,0.07040550062792646,0.0,0.0,0.0,1.9162133270314554,1.3829206177420617,6.323503979203803,1.1489509705115208,0.05,0.0,0.0,0.0,0.0,0.01,0.01,0.01,1.0,1.0,1.0
1.1,500.0,6.323503979203803,13.609921392415593,1.9162133270314554,1.3829206177420617,1.8361411514367592,0.13491195859955418,0.0,0.07347581012167127,1.1489509705115208,0.05,3.3000000000000003,0.5995944993720735,0.07040550062792646,0.07040550062792646,0.0,0.0,0.0,1.9162133270314554,1.3829206177420617,6.323503979203803,1.1489509705115208,0.05,0.0,0.0,0.0,0.0,0.01,0.01,0.01,1.0,1.0,1.0
1.5,-2.0,6.53547722915475,13.609921392415593,1.980447645198409,1.3986937158332973,2.313943373292817,0.17001886392836255,0.0,0.07347581012167127,1.1568810583545714,0.05,3.3,0.584151295874661,0.08584870412533899,0.08584870412533899,0.0,0.0,0.0,1.980447645198409,1.3986937158332973,6.53547722915475,1.1568810583545714,0.05,0.0,0.0,0.0,0.0,0.01,0.01,0.01,1.0,1.0,1.0
1.5,0.0,6.53547722915475,13.609921392415593,1.980447645198409,1.3986937158332973,2.313943373292817,0.17001886392836255,0.0,0.07347581012167127,1.1568810583545714,0.05,3.3,0.584151295874661,0.08584870412533899,0.08584870412533899,0.0,0.0,0.0,1.980447645198409,1.3986937158332973,6.53547722915475,1.1568810583545714,0.05,0.0,0.0,0.0,0.0,0.01,0.01,0.01,1.0,1.0,1.0
1.5,500.0,6.53547722915475,13.609921392415593,1.980447645198409,1.3986937158332973,2.313943373292817,0.17001886392836255,0.0,0.07347581012167127,1.1568810583545714,0.05,3.3,0.584151295874661,0.08584870412533899,0.08584870412533899,0.0,0.0,0.0,1.980447645198409,1.3986937158332973,6.53547722915475,1.1568810583545714,0.05,0.0,0.0,0.0,0.0,0.01,0.01,0.01,1.0,1.0,1.0
