scenario,time,capability_frontier_ratio,output_per_person_growth,wage_growth,net_interest,labor_income_share,ai_services_counterfactual_ratio,output_counterfactual_ratio,wage_counterfactual_ratio,consumption_counterfactual_ratio
Competition,0.0,0.9,0.09248826680122638,0.06592911986003402,0.13123846958607915,0.033672144488202105,1.0,1.0,1.0,1.0
Competition,0.01,0.9,0.09247761443564592,0.06592164428723812,0.1312281289769313,0.03366320317610345,1.0,1.0,1.0,1.0
Competition,0.02,0.9,0.0924669668893359,0.06591417214705378,0.13121779308464843,0.033654265307174934,1.0,1.0,1.0,1.0
Competition,0.03,0.9,0.09245632415909096,0.06590670343716705,0.1312074619060692,0.03364533087946972,1.0,1.0,1.0,1.0
Competition,0.04,0.9,0.09244568624170654,0.06589923815526462,0.1311971354380329,0.03363639989104218,1.0,1.0,1.0,1.0
Competition,0.05,0.9,0.09243505313398001,0.06589177629903462,0.13118681367738033,0.033627472339947805,1.0,1.0,1.0,1.0
Competition,0.06,0.9,0.09242442483271433,0.06588431786616912,0.13117649662095743,0.03361854822424298,1.0,1.0,1.0,1.0
Competition,0.07,0.9,0.0924138013347136,0.06587686285436115,0.131166184265611,0.03360962754198532,1.0,1.0,1.0,1.0
Competition,0.08,0.9,0.09240318263678386,0.06586941126130512,0.1311558766081895,0.03360071029123352,1.0,1.0,1.0,1.0
Competition,0.09,0.9,0.09239256873573501,0.06586196308469822,0.1311455736455447,0.03359179647004726,1.0,1.0,1.0,1.0
Competition,0.1,0.9,0.09238195962838024,0.06585451832223999,0.1311352753745314,0.03358288607648734,1.0,1.0,1.0,1.0
Competition,0.11,0.9,0.09237135531153351,0.06584707697163072,0.13112498179200555,0.033573979108616404,1.0,1.0,1.0,1.0
Competition,0.12,0.9,0.09236075578201454,0.06583963903057473,0.13111469289483035,0.03356507556450104,1.0,1.0,1.0,1.0
Competition,0.125,0.9,0.0923554578115097,0.06583592133791226,0.13110955020226983,0.03356062507574797,1.0,1.0,1.0,1.0
Competition,0.13,0.9,0.0923501610366451,0.06583220449677793,0.13110440867987172,0.03355617544220951,1.0,1.0,1.0,1.0
Competition,0.14,0.9,0.09233957107225005,0.06582477336794848,0.13109412914399793,0.033547278739811295,1.0,1.0,1.0,1.0
Competition,0.15,0.9,0.09232898588565726,0.06581734564179667,0.1310838542840801,0.033538385455376775,1.0,1.0,1.0,1.0
Competition,0.16,0.9,0.09231840547369624,0.06580992131603408,0.1310735840969906,0.03352949558697755,1.0,1.0,1.0,1.0
Competition,0.17,0.9,0.09230782983319911,0.06580250038837417,0.13106331857960407,0.03352060913268631,1.0,1.0,1.0,1.0
Competition,0.18,0.9,0.09229725896100308,0.065795082856534,0.13105305772879983,0.03351172609057656,1.0,1.0,1.0,1.0
Competition,0.19,0.9,0.09228669285394492,0.06578766871823044,0.13104280154145642,0.033502846458723215,1.0,1.0,1.0,1.0
Competition,0.2,0.9,0.09227613150886532,0.0657802579711832,0.13103255001445596,0.033493970235202,1.0,1.0,1.0,1.0
Competition,0.21,0.9,0.09226557492260981,0.06577285061311539,0.13102230314468566,0.033485097418090526,1.0,1.0,1.0,1.0
Competition,0.22,0.9,0.0922550230920239,0.06576544664175032,0.1310120609290345,0.033476228005470336,1.0,1.0,1.0,1.0
Competition,0.23,0.9,0.09224447601395923,0.06575804605481564,0.13100182336439792,0.03346736199542467,1.0,1.0,1.0,1.0
Competition,0.24,0.9,0.09223393368526847,0.06575064885003981,0.13099159044767184,0.03345849938603784,1.0,1.0,1.0,1.0
Competition,0.25,0.9,0.09222339610280733,0.06574325502515349,0.13098136217575507,0.03344964017539526,1.0,1.0,1.0,1.0
Competition,0.26,0.9,0.09221286326343452,0.06573586457788949,0.13097113854554893,0.03344078436158334,1.0,1.0,1.0,1.0
Competition,0.27,0.9,0.09220233516401116,0.06572847750598243,0.13096091955395672,0.03343193194268959,1.0,1.0,1.0,1.0
Competition,0.28,0.9,0.09219181180140025,0.06572109380716828,0.1309507051978836,0.03342308291680264,1.0,1.0,1.0,1.0
Competition,0.29,0.9,0.09218129317246902,0.0657137134791861,0.1309404954742383,0.033414237282011976,1.0,1.0,1.0,1.0
Competition,0.3,0.9,0.09217077927408618,0.06570633651977598,0.13093029037993076,0.03340539503640839,1.0,1.0,1.0,1.0
Competition,0.31,0.9,0.09216027010312403,0.06569896292668065,0.13092008991187476,0.033396556178084257,1.0,1.0,1.0,1.0
Competition,0.32,0.9,0.09214976565645781,0.06569159269764509,0.13090989406698889,0.03338772070513592,1.0,1.0,1.0,1.0
Competition,0.33,0.9,0.0921392659309666,0.06568422583041693,0.13089970284219554,0.0333788886156614,1.0,1.0,1.0,1.0
Competition,0.34,0.9,0.09212877092353101,0.06567686232274511,0.13088951623441875,0.033370059907759805,1.0,1.0,1.0,1.0
Competition,0.35000000000000003,0.9,0.09211828063103486,0.06566950217238071,0.130879334240585,0.0333612345795313,1.0,1.0,1.0,1.0
Competition,0.36,0.9,0.09210779505036484,0.06566214537707704,0.1308691568576234,0.03335241262907704,1.0,1.0,1.0,1.0
Competition,0.37,0.9,0.09209731417841008,0.06565479193458909,0.13085898408246527,0.0333435940544993,1.0,1.0,1.0,1.0
Competition,0.375,0.9,0.09209207550722981,0.0656511164699502,0.13085389942185444,0.03333918603257133,1.0,1.0,1.0,1.0
Competition,0.38,0.9,0.09208683801206217,0.06564744184267372,0.13084881591204395,0.03333477885390131,1.0,1.0,1.0,1.0
Competition,0.39,0.9,0.0920763665482158,0.06564009509909,0.13083865234329545,0.03332596702538751,1.0,1.0,1.0,1.0
Competition,0.4,0.9,0.09206589978376717,0.06563275170159812,0.13082849337315716,0.03331715856706321,1.0,1.0,1.0,1.0
Competition,0.41000000000000003,0.9,0.09205543771561694,0.0656254116479615,0.13081833899857087,0.03330835347703556,1.0,1.0,1.0,1.0
Competition,0.42,0.9,0.09204498034066819,0.06561807493594539,0.1308081892164829,0.033299551753415584,1.0,1.0,1.0,1.0
Competition,0.43,0.9,0.09203452765582704,0.06561074156331725,0.13079804402384265,0.033290753394315885,1.0,1.0,1.0,1.0
Competition,0.44,0.9,0.09202407965800272,0.06560341152784675,0.13078790341760216,0.03328195839785023,1.0,1.0,1.0,1.0
Competition,0.45,0.9,0.0920136363441062,0.06559608482730495,0.1307777673947152,0.03327316676213332,1.0,1.0,1.0,1.0
Competition,0.46,0.9,0.0920031977110528,0.06558876145946589,0.13076763595213914,0.033264378485281014,1.0,1.0,1.0,1.0
Competition,0.47000000000000003,0.9,0.09199276375575809,0.06558144142210397,0.1307575090868317,0.0332555935654101,1.0,1.0,1.0,1.0
Competition,0.48,0.9,0.0919823344751421,0.06557412471299674,0.13074738679575432,0.03324681200063852,1.0,1.0,1.0,1.0
Competition,0.49,0.9,0.09197190986612688,0.06556681132992326,0.13073726907587024,0.033238033789085165,1.0,1.0,1.0,1.0
Competition,0.5,0.9,0.09196148992563648,0.06555950127066401,0.13072715592414452,0.033229258928869944,1.0,1.0,1.0,1.0
Competition,0.51,0.9,0.0919510746505984,0.06555219453300204,0.13071704733754563,0.03322048741811463,1.0,1.0,1.0,1.0
Competition,0.52,0.9,0.09194066403794392,0.06554489111472314,0.13070694331304783,0.03321171925494462,1.0,1.0,1.0,1.0
Competition,0.53,0.9,0.09193025808460627,0.06553759101361455,0.13069684384762742,0.033202954437487116,1.0,1.0,1.0,1.0
Competition,0.54,0.9,0.09191985678752282,0.06553029422746647,0.13068674893826449,0.03319419296387029,1.0,1.0,1.0,1.0
Competition,0.55,0.9,0.09190946014363152,0.06552300075406961,0.1306766585819394,0.033185434832223415,1.0,1.0,1.0,1.0
Competition,0.56,0.9,0.09189906814987457,0.0655157105912177,0.13066657277563642,0.03317668004067671,1.0,1.0,1.0,1.0
Competition,0.5700000000000001,0.9,0.0918886808031956,0.06550842373670555,0.1306564915163409,0.0331679285873615,1.0,1.0,1.0,1.0
Competition,0.58,0.9,0.09187829810054171,0.06550114018833049,0.1306464148010414,0.033159180470410075,1.0,1.0,1.0,1.0
Competition,0.59,0.9,0.09186792003886152,0.06549385994389095,0.13063634262672746,0.03315043568795583,1.0,1.0,1.0,1.0
Competition,0.6,0.9,0.09185754661510785,0.06548658300118841,0.1306262749903926,0.033141694238133075,1.0,1.0,1.0,1.0
Competition,0.61,0.9,0.09184717782623468,0.0654793093580252,0.13061621188903166,0.03313295611907799,1.0,1.0,1.0,1.0
Competition,0.62,0.9,0.09183681366919977,0.06547203901220651,0.1306061533196453,0.03312422132893036,1.0,1.0,1.0,1.0
Competition,0.625,0.9,0.09183163332667238,0.06546840507511645,0.13060112573350657,0.03311985518161601,1.0,1.0,1.0,1.0
Competition,0.63,0.9,0.09182645414096531,0.06546477196154059,0.13059609927923838,0.03311548986583169,1.0,1.0,1.0,1.0
