time,sigma,output_effective_labor,capital_effective_labor,consumption_effective_labor,wage_productivity,ai_services_effective_labor,capability,ai_service_price,output_per_person_growth,wage_growth,consumption_per_person_growth,net_interest,labor_income_share,inference_output_share,research_output_share,profit_output_share,capability_frontier_ratio,ai_services_counterfactual_ratio,output_counterfactual_ratio,consumption_counterfactual_ratio,wage_counterfactual_ratio
0.0,1.5,7714.878999566938,14047.294019153644,681.804632288155,259.77652038241393,4919919.587351237,1002.185120714239,0.0009978196436276347,0.09248826680122638,0.06592911986003402,0.09123846958607915,0.13123846958607915,0.033672144488202105,0.6363278555117978,0.0,0.0,0.9,1.0,1.0,1.0,1.0
0.01,1.5,7721.245083706751,14059.687599310626,682.35870970022,259.9218420253103,4924048.54468045,1002.185120714239,0.0009978196436276347,0.09247761443564592,0.06592164428723812,0.0912281289769313,0.1312281289769313,0.03366320317610345,0.6363367968238964,0.0,0.0,0.9,1.0,1.0,1.0,1.0
0.02,1.5,7727.615597959592,14072.09029488338,682.9131667893157,260.0672255255954,4928180.4146786565,1002.185120714239,0.0009978196436276347,0.0924669668893359,0.06591417214705378,0.09121779308464842,0.13121779308464843,0.033654265307174934,0.6363457346928251,0.0,0.0,0.9,1.0,1.0,1.0,1.0
0.03,1.5,7733.990544994707,14084.502111569896,683.4680037814148,260.21267090503727,4932315.199116339,1002.185120714239,0.0009978196436276347,0.09245632415909096,0.06590670343716705,0.09120746190606918,0.1312074619060692,0.03364533087946972,0.6363546691205302,0.0,0.0,0.9,1.0,1.0,1.0,1.0
0.04,1.5,7740.369927483004,14096.923055071898,684.0232209026362,260.3581781854154,4936452.899765074,1002.185120714239,0.0009978196436276347,0.09244568624170654,0.06589923815526462,0.0911971354380329,0.1311971354380329,0.03363639989104218,0.6363636001089578,0.0,0.0,0.9,1.0,1.0,1.0,1.0
0.05,1.5,7746.753748097098,14109.353131094833,684.5788183792401,260.503747388522,4940593.518397647,1002.185120714239,0.0009978196436276347,0.09243505313398001,0.06589177629903462,0.09118681367738032,0.13118681367738033,0.033627472339947805,0.6363725276600521,0.0,0.0,0.9,1.0,1.0,1.0,1.0
0.06,1.5,7753.14200951156,14121.792345348058,685.1347964376336,260.64937853616846,4944737.056788029,1002.185120714239,0.0009978196436276347,0.09242442483271433,0.06588431786616912,0.09117649662095742,0.13117649662095743,0.03361854822424298,0.6363814517757569,0.0,0.0,0.9,1.0,1.0,1.0,1.0
0.07,1.5,7759.534714402617,14134.240703544618,685.6911553043668,260.7950716501774,4948883.5167113375,1002.185120714239,0.0009978196436276347,0.0924138013347136,0.06587686285436115,0.09116618426561099,0.131166184265611,0.03360962754198532,0.6363903724580147,0.0,0.0,0.9,1.0,1.0,1.0,1.0
0.08,1.5,7765.931865448233,14146.698211401346,686.2478952061339,260.94082675238474,4953032.899943862,1002.185120714239,0.0009978196436276347,0.09240318263678386,0.06586941126130512,0.0911558766081895,0.1311558766081895,0.03360071029123352,0.6363992897087665,0.0,0.0,0.9,1.0,1.0,1.0,1.0
0.09,1.5,7772.333465328254,14159.164874638973,686.805016369777,261.0866438646439,4957185.20826313,1002.185120714239,0.0009978196436276347,0.09239256873573501,0.06586196308469822,0.09114557364554468,0.1311455736455447,0.03359179647004726,0.6364082035299526,0.0,0.0,0.9,1.0,1.0,1.0,1.0
