scenario,time,capability_frontier_ratio,output_per_person_growth,wage_growth,net_interest,labor_income_share,ai_services_counterfactual_ratio,output_counterfactual_ratio,wage_counterfactual_ratio,consumption_counterfactual_ratio
Competition,0.0,0.9,0.05798435055033918,0.042006381275864466,0.09794463308636515,0.0010559340258358466,1.0,1.0,1.0,1.0
Competition,0.01,0.9,0.05798419269250379,0.042006273294233835,0.09794448158275408,0.0010557653227629771,1.0,1.0,1.0,1.0
Competition,0.02,0.9,0.05798403486057724,0.042006165330340774,0.09794433010401414,0.001055596647169685,1.0,1.0,1.0,1.0
Competition,0.03,0.9,0.05798387705455503,0.04200605738418221,0.09794417865014109,0.0010554279990513298,1.0,1.0,1.0,1.0
Competition,0.04,0.9,0.05798371927443371,0.04200594945575575,0.09794402722113164,0.001055259378403259,1.0,1.0,1.0,1.0
Competition,0.05,0.9,0.05798356152020782,0.04200584154505767,0.09794387581698051,0.0010550907852208385,1.0,1.0,1.0,1.0
Competition,0.06,0.9,0.057983403791872945,0.04200573365208493,0.09794372443768341,0.0010549222194994206,1.0,1.0,1.0,1.0
Competition,0.07,0.9,0.05798324608942455,0.04200562577683445,0.09794357308323602,0.0010547536812343659,1.0,1.0,1.0,1.0
Competition,0.08,0.9,0.057983088412859256,0.042005517919303854,0.09794342175363514,0.0010545851704210317,1.0,1.0,1.0,1.0
Competition,0.09,0.9,0.057982930762171044,0.042005410079489075,0.09794327044887492,0.0010544166870547825,1.0,1.0,1.0,1.0
Competition,0.1,0.9,0.05798277313735702,0.04200530225738809,0.09794311916895267,0.0010542482311309746,1.0,1.0,1.0,1.0
Competition,0.11,0.9,0.05798261553841116,0.0420051944529968,0.09794296791386249,0.0010540798026449725,1.0,1.0,1.0,1.0
Competition,0.12,0.9,0.05798245796533058,0.04200508666631321,0.0979428166836017,0.0010539114015921376,1.0,1.0,1.0,1.0
Competition,0.125,0.9,0.05798237918848772,0.042005032779610395,0.09794274107778032,0.001053827211351711,1.0,1.0,1.0,1.0
Competition,0.13,0.9,0.05798230041810975,0.042004978897333525,0.09794266547816498,0.0010537430279678381,1.0,1.0,1.0,1.0
Competition,0.14,0.9,0.057982142896744776,0.042004871146055084,0.09794251429754854,0.0010535746817674303,1.0,1.0,1.0,1.0
Competition,0.15,0.9,0.057981985401231194,0.04200476341247481,0.09794236314174813,0.0010534063629862873,1.0,1.0,1.0,1.0
Competition,0.16,0.9,0.057981827931564554,0.04200465569658967,0.09794221201075944,0.0010532380716197704,1.0,1.0,1.0,1.0
Competition,0.17,0.9,0.057981670487740354,0.04200454799839656,0.09794206090457823,0.0010530698076632503,1.0,1.0,1.0,1.0
Competition,0.18,0.9,0.05798151306975422,0.0420044403178925,0.09794190982320018,0.0010529015711120897,1.0,1.0,1.0,1.0
Competition,0.19,0.9,0.05798135567760105,0.04200433265507399,0.09794175876662052,0.0010527333619616615,1.0,1.0,1.0,1.0
Competition,0.2,0.9,0.057981198311277585,0.04200422500993878,0.097941607734836,0.0010525651802073335,1.0,1.0,1.0,1.0
Competition,0.21,0.9,0.057981040970778164,0.042004117382483004,0.09794145672784128,0.001052397025844478,1.0,1.0,1.0,1.0
Competition,0.22,0.9,0.057980883656099505,0.042004009772704395,0.09794130574563316,0.0010522288988684628,1.0,1.0,1.0,1.0
Competition,0.23,0.9,0.057980726367236585,0.042003902180599524,0.0979411547882068,0.001052060799274659,1.0,1.0,1.0,1.0
Competition,0.24,0.9,0.05798056910418491,0.04200379460616531,0.09794100385555794,0.001051892727058446,1.0,1.0,1.0,1.0
Competition,0.25,0.9,0.05798041186694061,0.04200368704939909,0.09794085294768283,0.0010517246822151925,1.0,1.0,1.0,1.0
Competition,0.26,0.9,0.057980254655499185,0.04200357951029776,0.09794070206457715,0.0010515566647402725,1.0,1.0,1.0,1.0
Competition,0.27,0.9,0.0579800974698552,0.042003471988857635,0.09794055120623564,0.0010513886746290637,1.0,1.0,1.0,1.0
Competition,0.28,0.9,0.05797994031000518,0.04200336448507633,0.09794040037265501,0.001051220711876942,1.0,1.0,1.0,1.0
Competition,0.29,0.9,0.05797978317594463,0.04200325699895071,0.097940249563831,0.0010510527764792813,1.0,1.0,1.0,1.0
Competition,0.3,0.9,0.05797962606766866,0.04200314953047748,0.0979400987797588,0.0010508848684314658,1.0,1.0,1.0,1.0
Competition,0.31,0.9,0.05797946898517334,0.04200304207965391,0.0979399480204347,0.0010507169877288676,1.0,1.0,1.0,1.0
Competition,0.32,0.9,0.05797931192845463,0.04200293464647725,0.09793979728585485,0.001050549134366868,1.0,1.0,1.0,1.0
Competition,0.33,0.9,0.05797915489750666,0.042002827230943465,0.09793964657601346,0.0010503813083408487,1.0,1.0,1.0,1.0
Competition,0.34,0.9,0.057978997892326446,0.04200271983305051,0.09793949589090785,0.00105021350964619,1.0,1.0,1.0,1.0
Competition,0.35000000000000003,0.9,0.05797884091290901,0.04200261245279497,0.09793934523053315,0.0010500457382782746,1.0,1.0,1.0,1.0
Competition,0.36,0.9,0.05797868395925046,0.042002505090174176,0.09793919459488566,0.0010498779942324846,1.0,1.0,1.0,1.0
Competition,0.37,0.9,0.05797852703134474,0.042002397745184,0.09793904398395949,0.0010497102775042044,1.0,1.0,1.0,1.0
Competition,0.375,0.9,0.057978448577048265,0.04200234407929976,0.0979389686877661,0.0010496264293826897,1.0,1.0,1.0,1.0
Competition,0.38,0.9,0.05797837012918894,0.04200229041782242,0.09793889339775193,0.001049542588088819,1.0,1.0,1.0,1.0
Competition,0.39,0.9,0.05797821325277815,0.04200218310808609,0.09793874283625821,0.0010493749259817122,1.0,1.0,1.0,1.0
Competition,0.4,0.9,0.057978056402109464,0.042002075815972956,0.09793859229947562,0.0010492072911782696,1.0,1.0,1.0,1.0
Competition,0.41000000000000003,0.9,0.05797789957717629,0.04200196854147857,0.09793844178739773,0.00104903968367388,1.0,1.0,1.0,1.0
Competition,0.42,0.9,0.057977742777973705,0.042001861284599554,0.09793829130001978,0.001048872103463931,1.0,1.0,1.0,1.0
Competition,0.43,0.9,0.05797758600449982,0.04200175404533457,0.09793814083734013,0.00104870455054381,1.0,1.0,1.0,1.0
Competition,0.44,0.9,0.05797742925674869,0.04200164682367957,0.09793799039935287,0.0010485370249089098,1.0,1.0,1.0,1.0
Competition,0.45,0.9,0.05797727253471683,0.04200153961963215,0.09793783998605483,0.0010483695265546134,1.0,1.0,1.0,1.0
Competition,0.46,0.9,0.05797711583839984,0.04200143243318928,0.09793768959744172,0.0010482020554763204,1.0,1.0,1.0,1.0
Competition,0.47000000000000003,0.9,0.057976959167791636,0.04200132526434682,0.09793753923350763,0.0010480346116694187,1.0,1.0,1.0,1.0
Competition,0.48,0.9,0.05797680252288884,0.04200121811310246,0.09793738889424937,0.0010478671951293021,1.0,1.0,1.0,1.0
Competition,0.49,0.9,0.05797664590368806,0.04200111097945383,0.09793723857966373,0.0010476998058513618,1.0,1.0,1.0,1.0
Competition,0.5,0.9,0.0579764893101833,0.042001003863396856,0.09793708828974483,0.0010475324438309966,1.0,1.0,1.0,1.0
Competition,0.51,0.9,0.057976332742370525,0.042000896764928776,0.09793693802448893,0.0010473651090636001,1.0,1.0,1.0,1.0
Competition,0.52,0.9,0.057976176200245866,0.042000789684046906,0.09793678778389224,0.0010471978015445642,1.0,1.0,1.0,1.0
Competition,0.53,0.9,0.05797601968380491,0.042000682620748235,0.09793663756795053,0.001047030521269292,1.0,1.0,1.0,1.0
Competition,0.54,0.9,0.05797586319304266,0.04200057557502934,0.09793648737665896,0.0010468632682331795,1.0,1.0,1.0,1.0
Competition,0.55,0.9,0.05797570672795512,0.042000468546887486,0.09793633721001378,0.0010466960424316244,1.0,1.0,1.0,1.0
Competition,0.56,0.9,0.05797555028853738,0.0420003615363193,0.0979361870680102,0.001046528843860027,1.0,1.0,1.0,1.0
Competition,0.5700000000000001,0.9,0.057975393874786535,0.042000254543322776,0.09793603695064555,0.001046361672513786,1.0,1.0,1.0,1.0
Competition,0.58,0.9,0.0579752374866971,0.04200014756789416,0.09793588685791442,0.0010461945283883037,1.0,1.0,1.0,1.0
Competition,0.59,0.9,0.057975081124264055,0.042000040610030036,0.09793573678981206,0.0010460274114789823,1.0,1.0,1.0,1.0
Competition,0.6,0.9,0.05797492478748407,0.04199993366972809,0.09793558674633522,0.0010458603217812228,1.0,1.0,1.0,1.0
Competition,0.61,0.9,0.057974768476352107,0.04199982674698488,0.0979354367274791,0.0010456932592904332,1.0,1.0,1.0,1.0
Competition,0.62,0.9,0.05797461219086426,0.04199971984179773,0.09793528673323997,0.001045526224002012,1.0,1.0,1.0,1.0
Competition,0.625,0.9,0.05797453405773524,0.04199966639578655,0.0979352117453502,0.001045442716557257,1.0,1.0,1.0,1.0
Competition,0.63,0.9,0.05797445593101605,0.04199961295416355,0.0979351367636135,0.0010453592159113693,1.0,1.0,1.0,1.0
Competition,0.64,0.9,0.05797429969680249,0.04199950608407895,0.09793498681859493,0.00104519223501391,1.0,1.0,1.0,1.0
Competition,0.65,0.9,0.05797414348822022,0.041999399231541605,0.09793483689818101,0.001045025281305039,1.0,1.0,1.0,1.0
Competition,0.66,0.9,0.057973987305263756,0.04199929239654777,0.09793468700236642,0.0010448583547801663,1.0,1.0,1.0,1.0
Competition,0.67,0.9,0.057973831147929075,0.04199918557909468,0.0979345371311474,0.0010446914554346997,1.0,1.0,1.0,1.0
Competition,0.68,0.9,0.057973675016212874,0.041999078779180056,0.09793438728452074,0.0010445245832640501,1.0,1.0,1.0,1.0
Competition,0.6900000000000001,0.9,0.05797351891010911,0.04199897199679977,0.09793423746248058,0.0010443577382636242,1.0,1.0,1.0,1.0
Competition,0.7000000000000001,0.9,0.05797336282961381,0.04199886523195111,0.09793408766502314,0.0010441909204288368,1.0,1.0,1.0,1.0
Competition,0.71,0.9,0.05797320677472353,0.041998758484631686,0.0979339378921452,0.0010440241297550981,1.0,1.0,1.0,1.0
Competition,0.72,0.9,0.05797305074543239,0.0419986517548375,0.09793378814384092,0.0010438573662378214,1.0,1.0,1.0,1.0
Competition,0.73,0.9,0.05797289474173788,0.04199854504256679,0.09793363842010812,0.001043690629872418,1.0,1.0,1.0,1.0
Competition,0.74,0.9,0.05797273876363409,0.041998438347815525,0.09793348872094094,0.0010435239206543045,1.0,1.0,1.0,1.0
Competition,0.75,0.9,0.05797258281111754,0.04199833167058132,0.09793333904633618,0.0010433572385788964,1.0,1.0,1.0,1.0
Competition,0.76,0.9,0.05797242688418331,0.0419982250108608,0.09793318939628896,0.0010431905836416106,1.0,1.0,1.0,1.0
Competition,0.77,0.9,0.05797227098282692,0.0419981183686509,0.09793303977079508,0.0010430239558378595,1.0,1.0,1.0,1.0
Competition,0.78,0.9,0.05797211510704391,0.041998011743948564,0.09793289016985025,0.0010428573551630655,1.0,1.0,1.0,1.0
Competition,0.79,0.9,0.05797195925683031,0.04199790513675106,0.09793274059345068,0.0010426907816126478,1.0,1.0,1.0,1.0
Competition,0.8,0.9,0.0579718034321823,0.04199779854705575,0.09793259104159262,0.001042524235182021,1.0,1.0,1.0,1.0
Competition,0.81,0.9,0.05797164763309481,0.04199769197485919,0.09793244151427129,0.0010423577158666071,1.0,1.0,1.0,1.0
Competition,0.8200000000000001,0.9,0.05797149185956245,0.041997585420157676,0.09793229201148139,0.0010421912236618298,1.0,1.0,1.0,1.0
Competition,0.8300000000000001,0.9,0.05797133611158323,0.04199747888294983,0.0979321425332212,0.0010420247585631057,1.0,1.0,1.0,1.0
Competition,0.84,0.9,0.05797118038915072,0.04199737236323127,0.09793199307948434,0.0010418583205658617,1.0,1.0,1.0,1.0
Competition,0.85,0.9,0.05797102469226149,0.04199726586099961,0.09793184365026765,0.0010416919096655234,1.0,1.0,1.0,1.0
Competition,0.86,0.9,0.057970869020911094,0.04199715937625182,0.09793169424556682,0.001041525525857509,1.0,1.0,1.0,1.0
Competition,0.87,0.9,0.05797071337509446,0.041997052908984436,0.09793154486537702,0.001041359169137247,1.0,1.0,1.0,1.0
Competition,0.875,0.9,0.057970635561760187,0.04199699968190512,0.09793147018447264,0.0010412760009335927,1.0,1.0,1.0,1.0
Competition,0.88,0.9,0.05797055775480833,0.0419969464591952,0.09793139550969505,0.0010411928395001626,1.0,1.0,1.0,1.0
Competition,0.89,0.9,0.05797040216004712,0.0419968400268803,0.09793124617851558,0.0010410265369416828,1.0,1.0,1.0,1.0
