time,sigma,output_effective_labor,capital_effective_labor,consumption_effective_labor,wage_productivity,ai_services_effective_labor,capability,ai_service_price,output_per_person_growth,wage_growth,consumption_per_person_growth,net_interest,labor_income_share,inference_output_share,research_output_share,profit_output_share,capability_frontier_ratio,ai_services_counterfactual_ratio,output_counterfactual_ratio,consumption_counterfactual_ratio,wage_counterfactual_ratio
0.0,1.5,276470523.71949583,616685248.556286,23021638.439387176,291934.6331360723,185347439730.24332,1002.185120714239,0.0009978196436276347,0.05798435055033918,0.042006381275864466,0.057944633086365153,0.09794463308636515,0.0010559340258358466,0.668944065974164,0.0,0.0,0.9,1.0,1.0,1.0,1.0
0.01,1.5,276603217.9201713,616981863.3120071,23032678.70842023,292028.0856447677,185436445456.39,1002.185120714239,0.0009978196436276347,0.05798419269250379,0.042006273294233835,0.05794448158275408,0.09794448158275408,0.0010557653227629771,0.668944234677237,0.0,0.0,0.9,1.0,1.0,1.0,1.0
0.02,1.5,276735975.3716575,617278619.6567402,23043724.237021275,292121.56775355455,185525493623.5154,1002.185120714239,0.0009978196436276347,0.05798403486057724,0.042006165330340774,0.05794433010401414,0.09794433010401414,0.001055596647169685,0.6689444033528302,0.0,0.0,0.9,1.0,1.0,1.0,1.0
0.03,1.5,276868796.1039637,617575517.6577263,23054775.027684845,292215.0794717574,185614584251.76157,1002.185120714239,0.0009978196436276347,0.05798387705455503,0.04200605738418221,0.057944178650141086,0.09794417865014109,0.0010554279990513298,0.6689445720009486,0.0,0.0,0.9,1.0,1.0,1.0,1.0
0.04,1.5,277001680.1471182,617872557.3822445,23065831.082906734,292308.6208087065,185703717361.2815,1002.185120714239,0.0009978196436276347,0.05798371927443371,0.04200594945575575,0.05794402722113164,0.09794402722113164,0.001055259378403259,0.6689447406215967,0.0,0.0,0.9,1.0,1.0,1.0,1.0
0.05,1.5,277134627.5311548,618169738.8975953,23076892.405183677,292402.19177373115,185792892972.23178,1002.185120714239,0.0009978196436276347,0.05798356152020782,0.04200584154505767,0.05794387581698051,0.09794387581698051,0.0010550907852208385,0.6689449092147791,0.0,0.0,0.9,1.0,1.0,1.0,1.0
0.06,1.5,277267638.2861284,618467062.2711215,23087958.99701391,292495.7923761655,185882111104.7858,1002.185120714239,0.0009978196436276347,0.057983403791872945,0.04200573365208493,0.05794372443768341,0.09794372443768341,0.0010549222194994206,0.6689450777805005,0.0,0.0,0.9,1.0,1.0,1.0,1.0
0.07,1.5,277400712.442105,618764527.5701916,23099030.860896613,292589.4226253462,185971371779.12122,1002.185120714239,0.0009978196436276347,0.05798324608942455,0.04200562577683445,0.05794357308323602,0.09794357308323602,0.0010547536812343659,0.6689452463187655,0.0,0.0,0.9,1.0,1.0,1.0,1.0
0.08,1.5,277533850.0291679,619062134.8622081,23110107.999332223,292683.0825306149,186060675015.4286,1002.185120714239,0.0009978196436276347,0.057983088412859256,0.042005517919303854,0.05794342175363514,0.09794342175363514,0.0010545851704210317,0.668945414829579,0.0,0.0,0.9,1.0,1.0,1.0,1.0
0.09,1.5,277667051.0774088,619359884.2146032,23121190.41482228,292776.7721013126,186150020833.90463,1002.185120714239,0.0009978196436276347,0.057982930762171044,0.042005410079489075,0.05794327044887492,0.09794327044887492,0.0010544166870547825,0.6689455833129451,0.0,0.0,0.9,1.0,1.0,1.0,1.0
0.1,1.5,277800315.6169424,619657775.6948477,23132278.10986985,292870.49134678836,186239409254.75833,1002.185120714239,0.0009978196436276347,0.05798277313735702,0.04200530225738809,0.057943119168952666,0.09794311916895267,0.0010542482311309746,0.6689457517688691,0.0,0.0,0.9,1.0,1.0,1.0,1.0
0.11,1.5,277933643.67788786,619955809.3704356,23143371.08697867,292964.2402763864,186328840298.20828,1002.185120714239,0.0009978196436276347,0.05798261553841116,0.0420051944529968,0.05794296791386249,0.09794296791386249,0.0010540798026449725,0.668945920197355,0.0,0.0,0.9,1.0,1.0,1.0,1.0
0.12,1.5,278067035.29038745,620253985.3088993,23154469.348654002,293058.0188994628,186418313984.4819,1002.185120714239,0.0009978196436276347,0.05798245796533058,0.04200508666631321,0.057942816683601704,0.0979428166836017,0.0010539114015921376,0.6689460885984078,0.0,0.0,0.9,1.0,1.0,1.0,1.0
0.125,1.5,278133754.93788904,620403126.6478173,23160020.461987212,293104.919348976,186463066825.00027,1002.185120714239,0.0009978196436276347,0.05798237918848772,0.042005032779610395,0.05794274107778032,0.09794274107778032,0.001053827211351711,0.6689461727886482,0.0,0.0,0.9,1.0,1.0,1.0,1.0
0.13,1.5,278200490.48458785,620552303.5777923,23165572.897402048,293151.8272253678,186507830333.8136,1002.185120714239,0.0009978196436276347,0.05798230041810975,0.042004978897333525,0.05794266547816498,0.09794266547816498,0.0010537430279678381,0.6689462569720321,0.0,0.0,0.9,1.0,1.0,1.0,1.0
0.14,1.5,278334009.2906629,620850764.2447222,23176681.73573069,293245.6652634636,186597389366.4533,1002.185120714239,0.0009978196436276347,0.057982142896744776,0.042004871146055084,0.057942514297548535,0.09794251429754854,0.0010535746817674303,0.6689464253182325,0.0,0.0,0.9,1.0,1.0,1.0,1.0
0.15,1.5,278467591.7387877,621149367.377302,23187795.866148245,293339.53302310646,186686991102.65323,1002.185120714239,0.0009978196436276347,0.057981985401231194,0.04200476341247481,0.05794236314174813,0.09794236314174813,0.0010534063629862873,0.6689465936370136,0.0,0.0,0.9,1.0,1.0,1.0,1.0
0.16,1.5,278601237.8591607,621448113.043197,23198915.291164886,293433.4305136631,186776635562.68185,1002.185120714239,0.0009978196436276347,0.057981827931564554,0.04200465569658967,0.057942212010759435,0.09794221201075944,0.0010532380716197704,0.6689467619283801,0.0,0.0,0.9,1.0,1.0,1.0,1.0
0.17,1.5,278734947.6819888,621747001.3100907,23210040.013291482,293527.35774449806,186866322766.81323,1002.185120714239,0.0009978196436276347,0.057981670487740354,0.04200454799839656,0.05794206090457823,0.09794206090457823,0.0010530698076632503,0.6689469301923366,0.0,0.0,0.9,1.0,1.0,1.0,1.0
0.18,1.5,278868721.2374999,622046032.2457144,23221170.035040744,293621.314724983,186956052735.333,1002.185120714239,0.0009978196436276347,0.05798151306975422,0.0420044403178925,0.05794190982320018,0.09794190982320018,0.0010529015711120897,0.6689470984288879,0.0,0.0,0.9,1.0,1.0,1.0,1.0
0.19,1.5,279002558.55592734,622345205.917814,23232305.35892575,293715.3014644868,187045825488.53516,1002.185120714239,0.0009978196436276347,0.05798135567760105,0.04200433265507399,0.05794175876662052,0.09794175876662052,0.0010527333619616615,0.6689472666380384,0.0,0.0,0.9,1.0,1.0,1.0,1.0
0.2,1.5,279136459.66752684,622644522.3941785,23243445.98746134,293809.31797238754,187135641046.72314,1002.185120714239,0.0009978196436276347,0.057981198311277585,0.04200422500993878,0.057941607734836,0.097941607734836,0.0010525651802073335,0.6689474348197926,0.0,0.0,0.9,1.0,1.0,1.0,1.0
0.21,1.5,279270424.60256135,622943981.742622,23254591.92316322,293903.36425806,187225499430.2102,1002.185120714239,0.0009978196436276347,0.057981040970778164,0.042004117382483004,0.05794145672784128,0.09794145672784128,0.001052397025844478,0.6689476029741555,0.0,0.0,0.9,1.0,1.0,1.0,1.0
0.22,1.5,279404453.39131725,623243584.0310022,23265743.1685487,293997.4403308903,187315400659.32175,1002.185120714239,0.0009978196436276347,0.057980883656099505,0.042004009772704395,0.05794130574563316,0.09794130574563316,0.0010522288988684628,0.6689477711011316,0.0,0.0,0.9,1.0,1.0,1.0,1.0
0.23,1.5,279538546.0640881,623543329.3271998,23276899.726135943,294091.54620026064,187405344754.38947,1002.185120714239,0.0009978196436276347,0.057980726367236585,0.042003902180599524,0.05794115478820679,0.0979411547882068,0.001052060799274659,0.6689479392007253,0.0,0.0,0.9,1.0,1.0,1.0,1.0
0.24,1.5,279672702.651179,623843217.6991192,23288061.598443985,294185.6818755547,187495331735.75412,1002.185120714239,0.0009978196436276347,0.05798056910418491,0.04200379460616531,0.05794100385555794,0.09794100385555794,0.001051892727058446,0.6689481072729414,0.0,0.0,0.9,1.0,1.0,1.0,1.0
0.25,1.5,279806923.1829192,624143249.2147166,23299228.787993785,294279.8473661664,187585361623.76865,1002.185120714239,0.0009978196436276347,0.05798041186694061,0.04200368704939909,0.05794085294768283,0.09794085294768283,0.0010517246822151925,0.6689482753177848,0.0,0.0,0.9,1.0,1.0,1.0,1.0
