sigma,time,output_effective_labor,output_effective_labor_growth,output_per_person_growth,wage_growth,wage_productivity,net_interest,labor_income_share,ai_revenue_output_share,capability_frontier_ratio,ai_service_price,consumption_effective_labor,capital_effective_labor,consumption_effective_labor_growth,capital_effective_labor_growth,ai_services_effective_labor_growth,inference_output_share,research_output_share,profit_output_share,inference_revenue_share,research_revenue_share,profit_revenue_share
1.5,0.0,122706667.77526505,-0.009254392650096985,0.0007456073499030151,-0.001478675955894806,194096.50690451032,0.01566267064217214,0.0015817926639487465,0.6684182073360512,0.8999999999999999,0.0014910519076336956,53462056.03496664,616685248.556286,-0.034337329357827864,-0.041591521499244256,0.006688641026808379,0.4473089193096904,0.009408876641613497,0.21170041138474727,0.6692051688604036,0.014076332060301178,0.31671849907929517
1.5,0.01,122695294.49036388,-0.00928380552357307,0.0007161944764269308,-0.0014882207777392577,194074.2192059279,0.01568388735907157,0.001581757637992954,0.668418242362007,0.9001432913280034,0.0014908145119843087,53443707.41501203,616428911.4083334,-0.03431611264092843,-0.041559636922566985,0.006628895473014833,0.4473089545134732,0.009392564775281803,0.21171672307325198,0.66920518646051,0.014051927640530953,0.31674288589895905
1.5,0.02,122683886.23039003,-0.009313127632229612,0.0006868723677703891,-0.001497728407742321,194051.91558071598,0.01570507070261773,0.0015817229266466403,0.6684182770733533,0.9002863333422044,0.001490577605037141,53425376.418611415,616172877.1173171,-0.03429492929738227,-0.04152780360912171,0.006569311027829162,0.4473089894010523,0.009376289367891668,0.21173299830440936,0.6692052039025316,0.014027577775020504,0.3167672183224479
1.5,0.03,122672443.11657028,-0.009342359281875288,0.0006576407181247113,-0.0015071989851284297,194029.59610712228,0.01572622072927056,0.0015816885290426996,0.6684183114709572,0.900429126546909,0.0014903411855268537,53407063.014201075,615917145.079971,-0.03427377927072944,-0.04149602147095185,0.0065098871901983785,0.44730902397329536,0.009360050316379258,0.21174923718128258,0.6692052211868988,0.014003282309518165,0.31679149650358296
1.5,0.04,122660965.26969345,-0.00937150077722509,0.0006284992227749107,-0.001516632648591561,194007.26086302407,0.015747337495429198,0.001581654444317002,0.6684183455556829,0.9005716714454552,0.0014901052521918113,53388767.17025888,615661714.6939663,-0.034252662504570805,-0.04146429042021726,0.006450623460764094,0.44730905823107153,0.0093438475180227,0.21176543980658868,0.6692052383140465,0.013979041090284238,0.3168157205956692
1.5,0.05,122649452.81009588,-0.009400552421913821,0.0005994475780861795,-0.0015260295363034994,193984.90992594228,0.01576842105742679,0.001581620671608691,0.6684183793283912,0.9007139685402146,0.001489869803774126,53370488.85530176,615406585.3579003,-0.03423157894257321,-0.04143261036920328,0.006391519341846728,0.4473090921752516,0.009327680870440874,0.21178160628269874,0.669205255284416,0.013954853964089192,0.3168398907514949
1.5,0.06,122637905.85767266,-0.009429514518491357,0.0005704854815086428,-0.0015353897859101658,193962.5433730233,0.015789471471533284,0.0015815872100598848,0.6684184127899401,0.9008560183325921,0.0014896348390196542,53352228.03788766,615151756.4712969,-0.03421052852846672,-0.04140098123031262,0.006332574337448759,0.4473091258066906,0.009311550271592233,0.21179773671165728,0.6692052720984271,0.013930720778211895,0.31686400712336105
1.5,0.07,122626324.5318823,-0.009458387368426536,0.0005416126315734644,-0.0015447135345334033,193940.1612810469,0.01581048879395751,0.0015815540588156771,0.6684184459411843,0.900997821323029,0.0014894003566779418,53333984.6866144,614897227.4346132,-0.034189511206042494,-0.041369402916064675,0.006273787953248381,0.4473091591262496,0.009295455619772752,0.21181383119516195,0.6692052887565125,0.01390664138043653,0.31688806986305096
1.5,0.08,122614708.95178752,-0.009487171272068405,0.0005128287279315947,-0.0015540009187561847,193917.76372645493,0.0158314730808186,0.00158152121702384,0.6684184787829761,0.901139378010843,0.0014891663555024783,53315758.77014662,614642997.6497,-0.0341685269191814,-0.04133787533912377,0.006215159696671515,0.4473091921347915,0.00927939681363316,0.21182988983455148,0.66920530525911,0.013882615619078387,0.31691207912181163
1.5,0.09,122603059.23629294,-0.009515866528423702,0.00048413347157629915,-0.0015632520745200336,193895.35078572773,0.01585242438805233,0.0015814886838348228,0.6684185113161651,0.9012806888935893,0.0014889328342518225,53297550.257328376,614389066.5218575,-0.03414757561194767,-0.04130639841235553,0.006156689077252529,0.4473092248331585,0.009263373752246317,0.21184591273076034,0.669205321606629,0.013858643343084641,0.31693603505028634
