sigma,time,output_effective_labor,output_effective_labor_growth,output_per_person_growth,wage_growth,wage_productivity,net_interest,labor_income_share,ai_revenue_output_share,capability_frontier_ratio,ai_service_price,consumption_effective_labor,capital_effective_labor,consumption_effective_labor_growth,capital_effective_labor_growth,ai_services_effective_labor_growth,inference_output_share,research_output_share,profit_output_share,inference_revenue_share,research_revenue_share,profit_revenue_share
1.5,0.0,3514.7539742898484,-0.016757386565860944,-0.006757386565860945,-0.0016552468021262066,174.99815193823778,0.03256884279165481,0.04978958789671642,0.6202104121032835,0.8999999999999999,0.0015470519287586523,1495.3428491843556,14047.294019153644,-0.017431157208345188,-0.019703289820467033,-0.016535196322049184,0.40002414972302597,0.0014860320633517197,0.21870023031690586,0.6449813513553365,0.002396012763333375,0.35262263588133014
1.5,0.01,3514.16508391804,-0.016755042245220005,-0.006755042245220005,-0.0016536348949651317,174.97775807057596,0.03257127510242533,0.04979212811353996,0.62020787188646,0.900007466853124,0.0015470421553620876,1495.082234520601,14044.526698351674,-0.01742872489757467,-0.01970064688244761,-0.01653289040466974,0.4000217196802507,0.0014858631517700228,0.21870028905443928,0.6449800749279779,0.002395750230080982,0.3526241748419411
1.5,0.02,3513.576374580972,-0.016752698077869492,-0.0067526980778694935,-0.0016520230936852174,174.95736939963828,0.03257370723828118,0.04979466809526907,0.6202053319047308,0.900014932935333,0.0015470323831815811,1494.8217016353235,14041.760293816451,-0.01742629276171882,-0.019698004120179094,-0.01653058461578213,0.40001928986885743,0.0014856942730110156,0.21870034776286237,0.6449787986187517,0.002395487746692303,0.35262571363455597
1.5,0.03,3512.9878462153683,-0.01675035406381619,-0.0067503540638161885,-0.001650411398290117,174.93698592397837,0.03257613919922209,0.04979720784187809,0.6202027921581218,0.9000223982467684,0.0015470226122168023,1494.5612504989913,14038.994805196618,-0.017423860800777912,-0.019695361533662997,-0.016528278955399996,0.4000168602888684,0.0014855254270662508,0.21870040644218713,0.6449775224276697,0.002395225313154529,0.3526272522591757
1.5,0.04,3512.3994987579,-0.016748010203068264,-0.006748010203068264,-0.0016487998087844347,174.91660764214728,0.03257857098524623,0.04979974735334166,0.6202002526466582,0.9000298627875722,0.001547012842467419,1494.3008810820706,14036.230232140906,-0.017421429014753766,-0.01969271912290233,-0.016525973423538433,0.4000144309403062,0.0014853566139272976,0.21870046509242475,0.6449762463547452,0.0023949629294548807,0.3526287907158
1.5,0.05,3511.811332145268,-0.016745666495634977,-0.006745666495634978,-0.0016471883251735087,174.89623455269708,0.03258100259635188,0.04980228662963447,0.6201977133703654,0.9000373265578863,0.0015470030739330963,1494.0405933550514,14033.46657429822,-0.017418997403648117,-0.019690076887901295,-0.01652366802021367,0.40001200182319313,0.0014851878335857395,0.2187005237135866,0.6449749703999903,0.0023947005955805988,0.35263032900442903
1.5,0.06,3511.223346314232,-0.016743322941524325,-0.006743322941524326,-0.0016455769474618236,174.87586665418036,0.03258343403253795,0.0498048256707308,0.6201951743292692,0.900044789557852,0.0015469933066134963,1493.78038728843,14030.703831317624,-0.017416565967462046,-0.01968743482866271,-0.016521362745440606,0.4000095729375539,0.0014850190860331478,0.21870058230568212,0.6449736945634214,0.0023944383115189045,0.3526318671250598
1.5,0.07,3510.6355412016146,-0.01674097954074199,-0.0067409795407419905,-0.0016439656756522866,174.85550394515246,0.03258586529380404,0.049807364476605054,0.6201926355233949,0.9000522517876114,0.0015469835405083003,1493.5202628527193,14027.942002848391,-0.017414134706195957,-0.01968479294518693,-0.01651905759923175,0.4000071442834072,0.0014848503712610874,0.21870064086872656,0.6449724188450447,0.002394176077257009,0.35263340507769814
1.5,0.08,3510.04791674414,-0.01673863629329922,-0.00673863629329922,-0.001642354509751598,174.83514642416486,0.03258829638014746,0.049809903047232165,0.6201900969527677,0.9000597132473057,0.0015469737756171585,1493.2602200184397,14025.181088539824,-0.01741170361985254,-0.019682151237480294,-0.016516752581605385,0.40000471586077957,0.0014846816892611593,0.218700699402727,0.64497114324488,0.0023939138927821825,0.3526349428623379
1.5,0.09,3509.460472878689,-0.01673629319920181,-0.0067362931992018095,-0.0016407434497627375,174.8147940897739,0.0325907272915678,0.049812441382586475,0.6201875586174135,0.9000671739370769,0.001546964011939751,1493.0002587561303,14022.421088041528,-0.0174092727084322,-0.01967950970554326,-0.01651444769257414,0.4000022876696904,0.001484513040024925,0.21870075790769813,0.6449698677629346,0.002393651758081629,0.35263648047898377
1.5,0.1,3508.8732095420937,-0.01673395025845859,-0.0067339502584585886,-0.0016391324956907642,174.79444694053322,0.03259315802806359,0.04981497948264247,0.6201850205173575,0.9000746338570665,0.0015469542494757377,1492.7403790363364,14019.662001003146,-0.01740684197193641,-0.01967686834937958,-0.016512142932153768,0.3999998597101645,0.0014843444235439764,0.218700816383649,0.644968592399225,0.0023933896731426025,0.3526380179276324
1.5,0.11,3508.2861266712675,-0.01673160747107664,-0.006731607471076637,-0.001637521647539537,174.7741049750001,0.03259558858963421,0.04981751734737477,0.6201824826526252,0.900082093007416,0.0015469444882247863,1492.4805808296196,14016.903827074544,-0.017404411410365788,-0.019674227168991115,-0.016509838300358237,0.39999743198222404,0.0014841758398098873,0.21870087483059128,0.6449673171537633,0.0023931276379523274,0.3526395552082844
1.5,0.12,3507.6992242030706,-0.016729264837065737,-0.006729264837065738,-0.0016359109053147606,174.7537681917282,0.03259801897627708,0.049820054976757955,0.6201799450232419,0.9000895513882671,0.0015469347281865723,1492.2208641065533,14014.146565905774,-0.017401981023723364,-0.01967158616438265,-0.016507533797204293,0.3999950044858898,0.0014840072888142636,0.21870093324853784,0.6449660420265598,0.002392865652498081,0.3526410923209421
1.5,0.125,3507.405840600227,-0.01672809357757648,-0.006728093577576477,-0.001635105573925882,174.74360174298874,0.03259923410400001,0.0498213237031859,0.620178676296814,0.9000932802901749,0.001546929848622132,1492.0910362921966,14012.768277496942,-0.01740076589599999,-0.01967026572799631,-0.016506381593872098,0.3999937908245832,0.0014839230255907546,0.21870096244664006,0.6449654045073108,0.002392734678417994,0.3526418608142712
1.5,0.13,3507.11250207445,-0.016726922356431553,-0.0067269223564315524,-0.0016343002690193285,174.73343658927533,0.03260044918799174,0.0498225923707668,0.6201774076292331,0.9000970089997613,0.001546924969360752,1491.9612288377218,14011.390217146918,-0.017399550812008262,-0.019668945335554494,-0.016505229422704416,0.3999925772211867,0.0014838387705486857,0.21870099163749773,0.644964767017631,0.0023926037167670963,0.35264262926560186
